tweet_time,tweet_id,username,tweet_text,source,favourite,retweet,clean
5/3/2020 5:14,1.25671E+18,anggaaawijaya,@takisamsam @agussetyar @GreatUeno @GilangHamidy @llepperr @fadhiil_rachman @underthebreach @tokopedia @haveibeenpwned Tp sebenarnya yang paling mengkhawatirkan dari data breach yang ada di tokped bukan username dan password sig tp tapi lebih kepada data ,Twitter for iPhone,1,0,tp benar yang paling khawatir dari data breach yang ada di tokped bukan username dan password sig tp tapi lebih kepada data pribadi atau metode bayar seperti kartu kredit
5/3/2020 5:13,1.25671E+18,allegorih,YO WHAT THE FUCK IS THIS MAN? @tokopedia https://t.co/ScdJU8pHVA,Twitter for Android,0,0,yo what the fuck is this man
5/3/2020 5:13,1.25671E+18,Anugrahriko_,"@underthebreach @tokopedia @TokopediaCare halo, bener?",Twitter for Android,0,0,halo bener
5/3/2020 5:13,1.25671E+18,wchobuffalo,@rioaditomo @underthebreach @tokopedia @TokopediaCare Ovi rekening bank si Mash aman. Bro. Yg gak aman alamat rumah Lo sama semua data yg ngelink ke email Lo yg buat daftar toped. Ditamabhin nomer hp Lo siap siap dijadikan tempat spaming. Poker pinjaman o,Twitter Web App,0,0,ovi rekening bank si mash aman bro yg gak aman alamat rumah lo sama semua data yg ngelink ke email lo yg buat daftar toped ditamabhin nomer hp lo siap siap jadi tempat spaming poker pinjam online kredit sama biro jodoh
5/3/2020 5:13,1.25671E+18,rxoxoxie,@kbenaranHakiki @GilangHamidy @underthebreach @tokopedia @DPR_RI @DivHumas_Polri @CCICPolri @kemkominfo @jansen_jsp @RachlanNashidik Mas yg berlindung di akun bergambar otak. Yuk di baca jgn nyeplos tanpa fakta ÅEÅEÅEÅE   - https://t.co/VbQBeOx2rr -https://t.,Twitter for iPhone,0,0,mas yg lindung di akun gambar otak yuk di baca jgn nyeplos tanpa fakta
5/3/2020 5:13,1.25671E+18,ahnafalfariza,wadidawww https://t.co/4woobfozA7,Twitter for iPhone,0,0,wadidawww
5/3/2020 5:13,1.25671E+18,GilangHamidy,"@fadhilssss @thepatheticmeee @elzgtaimtyzr @underthebreach @tokopedia Ya jangan angka doang loh ya. Huruf besar, huruf kecil, angka. Tanda baca sebenernya bagus. Umpetin aja di tengah2 passwordnya. Kayak bikin password kalimat 4 kata trus di antara katany",Twitter Web App,0,0,ya jangan angka doang loh ya huruf besar huruf kecil angka tanda baca sebenernya bagus umpetin aja di tengah2 passwordnya kayak bikin password kalimat 4 kata trus di antara kata kasih titik
5/3/2020 5:13,1.25671E+18,sylvanadrian,@underthebreach @tokopedia Lagi WFH pasti team teach &amp; security bntran lagi mampus;(,Twitter for iPhone,0,0,lagi wfh pasti team teach amp security bntran lagi mampus
5/3/2020 5:13,1.25671E+18,kopimochattv,People be asking tokopedia to delete their account,Twitter for Android,0,0,people be asking tokopedia to delete their account
5/3/2020 5:13,1.25671E+18,HerlanggaARV,Tokopedia kyknya perlu sewa Oracle untuk amanin databasenya ÅEÅEÅEÅE,Twitter for Android,0,0,tokopedia kyknya perlu sewa oracle untuk amanin databasenya
5/3/2020 5:13,1.25671E+18,dendyfadillah,@kookoopandan @dkotama @memijah @underthebreach @tokopedia ovo bukannya pake pin?,Twitter for Android,0,0,ovo bukan pake pin
5/3/2020 5:12,1.25671E+18,acmuharram,"Data pengguna diretas, haduh saatnya uninstall tokopedia",Twitter for Android,0,0,data guna retas haduh saat uninstall tokopedia
5/3/2020 5:12,1.25671E+18,agrinfauzi,"hihihi setelah si merah, si hijau juga kena #tokopedia https://t.co/I9VJl9fbXn",Twitter Web App,1,0,hihihi telah si merah si hijau juga kena
5/3/2020 5:12,1.25671E+18,_iniayi,"@underthebreach @tokopedia Ketika lo pikir database tokped 15juta udah cukup sampai situ, ini gue kasih yang baru. https://t.co/qSBOsVitr9",Twitter for Android,0,0,ketika lo pikir database tokped 15juta udah cukup sampai situ ini gue kasih yang baru
5/3/2020 5:12,1.25671E+18,Bayujuniorr,"Ohh betapaku saat ini, ku..benci Tokopedia #gantilirik #naif",Twitter for Android,0,0,ohh betapa saat ini benci tokopedia
5/3/2020 5:12,1.25671E+18,ovaltind,@GAMEREFF Sini https://t.co/psKGyQ3CHJ,Twitter for Android,0,0,sini
5/3/2020 5:12,1.25671E+18,Rokhmat_W,"@tokopedia Semua Password sudah diganti, apakah akun saya tetap aman?",Twitter for Android,0,0,semua password sudah ganti apakah akun saya tetap aman
5/3/2020 5:12,1.25671E+18,laskarbola88,#Tokopedia https://t.co/Z9bEA5B6h3,Twitter Web App,0,0,
5/3/2020 5:12,1.25671E+18,Boy_Ngaco,@tasyanuzulaa @DNP_2206 @ezash @tokopedia selama email nya sama dan password sama kemungkinan yang lainnya,Twitter for Android,0,0,lama email nya sama dan password sama mungkin yang lain
5/3/2020 5:12,1.25671E+18,mindfooll,Hallo! Tolong bantu info proses penghapusan rekening bank yang ada di akun Tokopedia saya ya @TokopediaCare,Twitter Web App,0,0,hallo tolong bantu info proses hapus rekening bank yang ada di akun tokopedia saya ya
5/3/2020 5:12,1.25671E+18,fadhilssss,@GilangHamidy @thepatheticmeee @elzgtaimtyzr @underthebreach @tokopedia Kalo kombinasinya cuma angka gpp kan bang?,Twitter for Android,0,0,kalo kombinasi cuma angka gpp kan bang
5/3/2020 5:11,1.25671E+18,akbaruul_,@TokopediaCare Simpan data dihash tanpa salt? Untuk ukuran Startup sebesar Tokopedia itu sembrono,Twitter for Android,0,0,simpan data dihash tanpa salt untuk ukur startup besar tokopedia itu sembrono
5/3/2020 5:11,1.25671E+18,bagusbk,"Ada Kupon THR 1 Juta dari bagus bayu nih buat lengkapi kebutuhan Ramadan dari rumah! Yuk, klik link ini supaya kamu dan dia bisa gunakan kuponnya tanggal 4-5 Mei 2020! https://t.co/YlI2RjA9cR",Twitter for Android,0,0,ada kupon thr 1 juta dari bagus bayu nih buat lengkap butuh ramadan dari rumah yuk klik link ini supaya kamu dan dia bisa guna kupon tanggal 45 mei 2020
5/3/2020 5:11,1.25671E+18,rizkynurulhuda,Kebayang keosnya grup wa kantor tokopedia:(,Twitter for Android,0,0,bayang keosnya grup wa kantor tokopedia
5/3/2020 5:11,1.25671E+18,achmadmrifki,"@bi_bukanbabi @ThePandhitas Ga. Kalau dia udah retas, otomatis Tokopedia respon. Langsung perkuat keamanan mereka. langsung ganti password.",Twitter Web App,0,0,ga kalau dia udah retas otomatis tokopedia respon langsung kuat aman mereka langsung ganti password
5/3/2020 5:11,1.25671E+18,bakhrululum19,@aly216241 @bobybob2015 @tokopedia terima kasih infonya,Twitter Web App,0,0,terima kasih info
5/3/2020 5:11,1.25671E+18,PUBCRAWEst,#tokopedia Bocor???  Pengguna shoppe ÅEÅEÅEÅEÅEÅEÅEÅE,Twitter for iPhone,2,0,bocor guna shoppe
5/3/2020 5:11,1.25671E+18,namkoya92,apakah kebocoran data Tokopedia ada hubungannya dengan kasus yang heboh kemarin? mari kita saksikan dan bantu doa agar semua kejadian ini cepat berlalu dan semoga kita semua selalu dalam lindungan Tuhan dan selalu di berikan kebahagiaan aminÅEÅEÅEÅE,Twitter for Android,2,2,apakah bocor data tokopedia ada hubung dengan kasus yang heboh kemarin mari kita saksi dan bantu doa agar semua jadi ini cepat lalu dan moga kita semua selalu dalam lindung tuhan dan selalu di ikan bahagia amin
5/3/2020 5:11,1.25671E+18,ksetyadi,"Sebenarnya yang paling mengkhawatirkan dari data breach yang ada di Tokopedia bukanlah username dan password, tapi lebih kepada data metode pembayaran seperti kartu kredit.",Twitter for Android,3,2,benar yang paling khawatir dari data breach yang ada di tokopedia bukan username dan password tapi lebih kepada data metode bayar seperti kartu kredit
5/3/2020 5:11,1.25671E+18,TokopediaCare,"@kooniaz Maaf ya Kak, bisa diinfoin alasan Kakak ingin menghapus akun Tokopedia, dan Ivin infoin cara untuk menghapus nomor rekening di Tokopedia, Kakak bisa klik link https://t.co/FEkdnve2FV. Makasih :)",Salesforce - Social Studio,0,0,maaf ya kak bisa diinfoin alas kakak ingin hapus akun tokopedia dan ivin infoin cara untuk hapus nomor rekening di tokopedia kakak bisa klik link makasih
5/3/2020 5:11,1.25671E+18,adimaulana907,Untung gue team shopee.. bukan tokopedia,Twitter for Android,0,0,untung gue team shopee bukan tokopedia
5/3/2020 5:11,1.25671E+18,Rokhmat_W,@tokopedia https://t.co/a02EUKqwB7,Twitter for Android,0,0,
5/3/2020 5:11,1.25671E+18,LarsGondronk,Melipir ya guys ke Justiker. Bersama kita #JagaEkonomiIndonesia @TokopediaCare https://t.co/jKSFXRzFJS https://t.co/IB8W31Rhyf,Twitter for iPhone,1,0,melipir ya guys ke justiker sama kita
5/3/2020 5:11,1.25671E+18,Growth_Lean,@Growth_Lean &gt;&gt; Indonesia's Tokopedia probes alleged data leak of 15 million users https://t.co/8EC7A5vPEC #lean https://t.co/53EU9lSDQo,Twibble.io,0,0,gtgt indonesias tokopedia probes alleged data leak of 15 million users
